mundial,fecha,local,visitante,pred,prob,real,marcador,acierto
2010,2010-06-24,Slovakia,Italy,2,0.65,1,3-2,0
2010,2010-06-24,Paraguay,New Zealand,1,0.528,X,0-0,0
2010,2010-06-24,Cameroon,Netherlands,2,0.743,2,1-2,1
2010,2010-06-24,Denmark,Japan,2,0.368,2,1-3,1
2010,2010-06-25,Switzerland,Honduras,1,0.408,X,0-0,0
2010,2010-06-25,Chile,Spain,2,0.564,2,1-2,1
2010,2010-06-25,North Korea,Ivory Coast,2,0.603,2,0-3,1
2010,2010-06-25,Portugal,Brazil,2,0.633,X,0-0,0
2010,2010-06-26,Uruguay,South Korea,1,0.469,1,2-1,1
2010,2010-06-26,United States,Ghana,1,0.48,2,1-2,0
2010,2010-06-27,Germany,England,2,0.379,1,4-1,0
2010,2010-06-27,Argentina,Mexico,1,0.459,1,3-1,1
2010,2010-06-28,Brazil,Chile,1,0.64,1,3-0,1
2010,2010-06-28,Netherlands,Slovakia,1,0.78,1,2-1,1
2010,2010-06-29,Paraguay,Japan,2,0.39,X,0-0,0
2010,2010-06-29,Spain,Portugal,1,0.573,1,1-0,1
2010,2010-07-02,Netherlands,Brazil,2,0.441,1,2-1,0
2010,2010-07-02,Uruguay,Ghana,1,0.528,X,1-1,0
2010,2010-07-03,Argentina,Germany,1,0.382,2,0-4,0
2010,2010-07-03,Paraguay,Spain,2,0.718,2,0-1,1
2010,2010-07-06,Uruguay,Netherlands,2,0.587,2,2-3,1
2010,2010-07-07,Germany,Spain,2,0.423,2,0-1,1
2010,2010-07-10,Uruguay,Germany,2,0.52,2,2-3,1
2010,2010-07-11,Netherlands,Spain,2,0.385,2,0-1,1
2014,2014-06-17,Brazil,Mexico,1,0.79,X,0-0,0
2014,2014-06-18,Spain,Chile,1,0.492,2,0-2,0
2014,2014-06-18,Australia,Netherlands,2,0.692,2,2-3,1
2014,2014-06-18,Cameroon,Croatia,2,0.477,2,0-4,1
2014,2014-06-19,Colombia,Ivory Coast,1,0.456,1,2-1,1
2014,2014-06-19,Japan,Greece,1,0.404,X,0-0,0
2014,2014-06-19,Uruguay,England,2,0.397,1,2-1,0
2014,2014-06-20,Honduras,Ecuador,2,0.514,2,1-2,1
2014,2014-06-20,Italy,Costa Rica,1,0.464,2,0-1,0
2014,2014-06-20,Switzerland,France,2,0.457,2,2-5,1
2014,2014-06-21,Nigeria,Bosnia and Herzegovina,1,0.374,1,1-0,1
2014,2014-06-21,Argentina,Iran,1,0.647,1,1-0,1
2014,2014-06-21,Germany,Ghana,1,0.739,X,2-2,0
2014,2014-06-22,Belgium,Russia,1,0.377,1,1-0,1
2014,2014-06-22,South Korea,Algeria,1,0.46,2,2-4,0
2014,2014-06-22,United States,Portugal,2,0.36,X,2-2,0
2014,2014-06-23,Netherlands,Chile,1,0.45,1,2-0,1
2014,2014-06-23,Australia,Spain,2,0.654,2,0-3,1
2014,2014-06-23,Brazil,Cameroon,1,0.838,1,4-1,1
2014,2014-06-23,Croatia,Mexico,2,0.452,2,1-3,1
2014,2014-06-24,Italy,Uruguay,2,0.389,2,0-1,1
2014,2014-06-24,Japan,Colombia,2,0.559,2,1-4,1
2014,2014-06-24,Costa Rica,England,2,0.403,X,0-0,0
2014,2014-06-24,Greece,Ivory Coast,2,0.451,1,2-1,0
2014,2014-06-25,Bosnia and Herzegovina,Iran,2,0.409,1,3-1,0
2014,2014-06-25,Ecuador,France,2,0.534,X,0-0,0
2014,2014-06-25,Honduras,Switzerland,2,0.52,2,0-3,1
2014,2014-06-25,Nigeria,Argentina,2,0.643,2,2-3,1
2014,2014-06-26,Algeria,Russia,2,0.496,X,1-1,0
2014,2014-06-26,South Korea,Belgium,2,0.566,2,0-1,1
2014,2014-06-26,Portugal,Ghana,1,0.51,1,2-1,1
2014,2014-06-26,United States,Germany,2,0.551,2,0-1,1
2014,2014-06-28,Colombia,Uruguay,1,0.468,1,2-0,1
2014,2014-06-28,Brazil,Chile,1,0.712,X,1-1,0
2014,2014-06-29,Costa Rica,Greece,1,0.395,X,1-1,0
2014,2014-06-29,Netherlands,Mexico,1,0.536,1,2-1,1
2014,2014-06-30,France,Nigeria,1,0.577,1,2-0,1
2014,2014-06-30,Germany,Algeria,1,0.783,1,2-1,1
2014,2014-07-01,Argentina,Switzerland,1,0.627,1,1-0,1
2014,2014-07-01,Belgium,United States,2,0.362,1,2-1,0
2014,2014-07-04,Brazil,Colombia,1,0.593,1,2-1,1
2014,2014-07-04,France,Germany,2,0.467,2,0-1,1
2014,2014-07-05,Argentina,Belgium,1,0.554,1,1-0,1
2014,2014-07-05,Netherlands,Costa Rica,1,0.665,X,0-0,0
2014,2014-07-08,Brazil,Germany,1,0.55,2,1-7,0
2014,2014-07-09,Netherlands,Argentina,1,0.368,X,0-0,0
2014,2014-07-12,Brazil,Netherlands,1,0.468,2,0-3,0
2014,2014-07-13,Germany,Argentina,1,0.474,1,1-0,1
2018,2018-06-19,Russia,Egypt,1,0.508,1,3-1,1
2018,2018-06-20,Portugal,Morocco,1,0.594,1,1-0,1
2018,2018-06-20,Uruguay,Saudi Arabia,1,0.69,1,1-0,1
2018,2018-06-20,Iran,Spain,2,0.568,2,0-1,1
2018,2018-06-21,Denmark,Australia,1,0.461,X,1-1,0
2018,2018-06-21,France,Peru,1,0.48,1,1-0,1
2018,2018-06-21,Argentina,Croatia,1,0.488,2,0-3,0
2018,2018-06-22,Serbia,Switzerland,2,0.489,2,1-2,1
2018,2018-06-22,Brazil,Costa Rica,1,0.771,1,2-0,1
2018,2018-06-22,Nigeria,Iceland,2,0.468,1,2-0,0
2018,2018-06-23,Germany,Sweden,1,0.616,1,2-1,1
2018,2018-06-23,South Korea,Mexico,2,0.589,2,1-2,1
2018,2018-06-23,Belgium,Tunisia,1,0.677,1,5-2,1
2018,2018-06-24,England,Panama,1,0.662,1,6-1,1
2018,2018-06-24,Japan,Senegal,2,0.399,X,2-2,0
2018,2018-06-24,Poland,Colombia,2,0.484,2,0-3,1
2018,2018-06-25,Russia,Uruguay,2,0.434,2,0-3,1
2018,2018-06-25,Saudi Arabia,Egypt,2,0.455,1,2-1,0
2018,2018-06-25,Spain,Morocco,1,0.732,X,2-2,0
2018,2018-06-25,Iran,Portugal,2,0.506,X,1-1,0
2018,2018-06-26,Australia,Peru,2,0.474,2,0-2,1
2018,2018-06-26,Denmark,France,2,0.55,X,0-0,0
2018,2018-06-26,Nigeria,Argentina,2,0.591,2,1-2,1
2018,2018-06-26,Iceland,Croatia,2,0.612,2,1-2,1
2018,2018-06-27,Switzerland,Costa Rica,1,0.535,X,2-2,0
2018,2018-06-27,Serbia,Brazil,2,0.788,2,0-2,1
2018,2018-06-27,South Korea,Germany,2,0.731,1,2-0,0
2018,2018-06-27,Mexico,Sweden,1,0.504,2,0-3,0
2018,2018-06-28,Japan,Poland,1,0.405,2,0-1,0
2018,2018-06-28,Senegal,Colombia,2,0.496,2,0-1,1
2018,2018-06-28,Panama,Tunisia,2,0.387,2,1-2,1
2018,2018-06-28,England,Belgium,2,0.364,2,0-1,1
2018,2018-06-30,France,Argentina,1,0.429,1,4-3,1
2018,2018-06-30,Uruguay,Portugal,2,0.389,1,2-1,0
2018,2018-07-01,Croatia,Denmark,1,0.437,X,1-1,0
2018,2018-07-01,Russia,Spain,2,0.621,X,1-1,0
2018,2018-07-02,Belgium,Japan,1,0.641,1,3-2,1
2018,2018-07-02,Brazil,Mexico,1,0.694,1,2-0,1
2018,2018-07-03,Sweden,Switzerland,2,0.395,1,1-0,0
2018,2018-07-03,Colombia,England,2,0.356,X,1-1,0
2018,2018-07-06,Uruguay,France,2,0.429,2,0-2,1
2018,2018-07-06,Brazil,Belgium,1,0.573,2,1-2,0
2018,2018-07-07,Sweden,England,2,0.431,2,0-2,1
2018,2018-07-07,Russia,Croatia,2,0.48,X,2-2,0
2018,2018-07-10,France,Belgium,1,0.383,1,1-0,1
2018,2018-07-11,Croatia,England,2,0.425,1,2-1,0
2018,2018-07-14,Belgium,England,1,0.43,1,2-0,1
2018,2018-07-15,France,Croatia,1,0.503,1,4-2,1
2022,2022-11-25,Wales,Iran,2,0.407,2,0-2,1
2022,2022-11-25,England,United States,1,0.506,X,0-0,0
2022,2022-11-25,Netherlands,Ecuador,1,0.561,X,1-1,0
2022,2022-11-25,Qatar,Senegal,1,0.4,2,1-3,0
2022,2022-11-26,Poland,Saudi Arabia,1,0.422,1,2-0,1
2022,2022-11-26,Argentina,Mexico,1,0.636,1,2-0,1
2022,2022-11-26,Tunisia,Australia,1,0.36,2,0-1,0
2022,2022-11-26,France,Denmark,1,0.416,1,2-1,1
2022,2022-11-27,Japan,Costa Rica,1,0.5,2,0-1,0
2022,2022-11-27,Spain,Germany,1,0.544,X,1-1,0
2022,2022-11-27,Belgium,Morocco,1,0.583,2,0-2,0
2022,2022-11-27,Croatia,Canada,1,0.432,1,4-1,1
2022,2022-11-28,South Korea,Ghana,1,0.59,2,2-3,0
2022,2022-11-28,Portugal,Uruguay,1,0.435,1,2-0,1
2022,2022-11-28,Brazil,Switzerland,1,0.714,1,1-0,1
2022,2022-11-28,Cameroon,Serbia,2,0.599,X,3-3,0
2022,2022-11-29,Ecuador,Senegal,1,0.474,2,1-2,0
2022,2022-11-29,Qatar,Netherlands,2,0.727,2,0-2,1
2022,2022-11-29,Wales,England,2,0.619,2,0-3,1
2022,2022-11-29,Iran,United States,1,0.36,2,0-1,0
2022,2022-11-30,Poland,Argentina,2,0.702,2,0-2,1
2022,2022-11-30,Saudi Arabia,Mexico,2,0.51,2,1-2,1
2022,2022-11-30,Australia,Denmark,2,0.515,1,1-0,0
2022,2022-11-30,Tunisia,France,2,0.687,1,1-0,0
2022,2022-12-01,Croatia,Belgium,2,0.406,X,0-0,0
2022,2022-12-01,Canada,Morocco,2,0.463,2,1-2,1
2022,2022-12-01,Japan,Spain,2,0.619,1,2-1,0
2022,2022-12-01,Costa Rica,Germany,2,0.533,2,2-4,1
2022,2022-12-02,Serbia,Switzerland,2,0.417,2,2-3,1
2022,2022-12-02,Cameroon,Brazil,2,0.856,1,1-0,0
2022,2022-12-02,Ghana,Uruguay,2,0.643,2,0-2,1
2022,2022-12-02,South Korea,Portugal,2,0.656,1,2-1,0
2022,2022-12-03,Netherlands,United States,1,0.554,1,3-1,1
2022,2022-12-03,Argentina,Australia,1,0.683,1,2-1,1
2022,2022-12-04,France,Poland,1,0.551,1,3-1,1
2022,2022-12-04,England,Senegal,1,0.551,1,3-0,1
2022,2022-12-05,Japan,Croatia,2,0.406,X,1-1,0
2022,2022-12-05,Brazil,South Korea,1,0.716,1,4-1,1
2022,2022-12-06,Morocco,Spain,2,0.513,X,0-0,0
2022,2022-12-06,Portugal,Switzerland,1,0.453,1,6-1,1
2022,2022-12-09,Croatia,Brazil,2,0.681,X,1-1,0
2022,2022-12-09,Netherlands,Argentina,2,0.454,X,2-2,0
2022,2022-12-10,Morocco,Portugal,2,0.529,1,1-0,0
2022,2022-12-10,England,France,2,0.359,2,1-2,1
2022,2022-12-13,Argentina,Croatia,1,0.578,1,3-0,1
2022,2022-12-14,France,Morocco,1,0.471,1,2-0,1
2022,2022-12-17,Croatia,Morocco,2,0.353,1,2-1,0
2022,2022-12-18,Argentina,France,1,0.458,X,3-3,0
2026,2026-06-18,Czech Republic,South Africa,1,0.509,X,1-1,0
2026,2026-06-18,Mexico,South Korea,1,0.546,1,1-0,1
2026,2026-06-18,Switzerland,Bosnia and Herzegovina,1,0.679,1,4-1,1
2026,2026-06-18,Canada,Qatar,1,0.773,1,6-0,1
2026,2026-06-19,Turkey,Paraguay,1,0.392,2,0-1,0
2026,2026-06-19,Scotland,Morocco,2,0.56,2,0-1,1
2026,2026-06-19,Brazil,Haiti,1,0.811,1,3-0,1
2026,2026-06-19,United States,Australia,1,0.384,1,2-0,1
2026,2026-06-20,Tunisia,Japan,2,0.713,2,0-4,1
2026,2026-06-20,Netherlands,Sweden,1,0.588,1,5-1,1
2026,2026-06-20,Germany,Ivory Coast,1,0.568,1,2-1,1
2026,2026-06-20,Ecuador,Curaçao,1,0.781,X,0-0,0
2026,2026-06-21,Belgium,Iran,1,0.426,X,0-0,0
2026,2026-06-21,New Zealand,Egypt,2,0.442,2,1-3,1
2026,2026-06-21,Spain,Saudi Arabia,1,0.823,1,4-0,1
2026,2026-06-21,Uruguay,Cape Verde,1,0.67,X,2-2,0
2026,2026-06-22,Jordan,Algeria,2,0.558,2,1-2,1
2026,2026-06-22,France,Iraq,1,0.779,1,3-0,1
2026,2026-06-22,Norway,Senegal,1,0.46,1,3-2,1
2026,2026-06-22,Argentina,Austria,1,0.703,1,2-0,1
2026,2026-06-23,Portugal,Uzbekistan,1,0.615,1,5-0,1
2026,2026-06-23,Colombia,DR Congo,1,0.683,1,1-0,1
2026,2026-06-23,England,Ghana,1,0.802,X,0-0,0
2026,2026-06-23,Panama,Croatia,2,0.556,2,0-1,1
2026,2026-06-24,Bosnia and Herzegovina,Qatar,1,0.443,1,3-1,1
2026,2026-06-24,Canada,Switzerland,1,0.398,2,1-2,0
2026,2026-06-24,Scotland,Brazil,2,0.667,2,0-3,1
2026,2026-06-24,Mexico,Czech Republic,1,0.721,1,3-0,1
2026,2026-06-24,South Africa,South Korea,2,0.628,1,1-0,0
2026,2026-06-24,Morocco,Haiti,1,0.766,1,4-2,1
2026,2026-06-25,Ecuador,Germany,2,0.484,1,2-1,0
2026,2026-06-25,Curaçao,Ivory Coast,2,0.653,2,0-2,1
2026,2026-06-25,Japan,Sweden,1,0.646,X,1-1,0
2026,2026-06-25,United States,Turkey,1,0.551,2,2-3,0
2026,2026-06-25,Paraguay,Australia,2,0.411,X,0-0,0
2026,2026-06-25,Tunisia,Netherlands,2,0.747,2,1-3,1
2026,2026-06-26,Uruguay,Spain,2,0.688,2,0-1,1
2026,2026-06-26,Cape Verde,Saudi Arabia,2,0.372,X,0-0,0
2026,2026-06-26,Norway,France,2,0.558,2,1-4,1
2026,2026-06-26,Egypt,Iran,2,0.437,X,1-1,0
2026,2026-06-26,New Zealand,Belgium,2,0.656,2,1-5,1
2026,2026-06-26,Senegal,Iraq,1,0.549,1,5-0,1
