mundial,fecha,local,visitante,pred,prob,real,marcador,acierto
1982,1982-06-21,Algeria,Austria,2,0.508,2,0-2,1
1982,1982-06-21,France,Kuwait,1,0.409,1,4-1,1
1982,1982-06-22,Belgium,Hungary,1,0.482,X,1-1,0
1982,1982-06-22,Poland,Peru,1,0.557,1,5-1,1
1982,1982-06-22,Russia,Scotland,1,0.574,X,2-2,0
1982,1982-06-23,Brazil,New Zealand,1,0.784,1,4-0,1
1982,1982-06-23,Italy,Cameroon,1,0.455,X,1-1,0
1982,1982-06-23,Argentina,El Salvador,1,0.773,1,2-0,1
1982,1982-06-24,France,Czech Republic,1,0.423,X,1-1,0
1982,1982-06-24,Honduras,Serbia,2,0.585,2,0-1,1
1982,1982-06-24,Algeria,Chile,1,0.444,1,3-2,1
1982,1982-06-25,Spain,Northern Ireland,1,0.64,2,0-1,0
1982,1982-06-25,England,Kuwait,1,0.665,1,1-0,1
1982,1982-06-25,Germany,Austria,1,0.541,1,1-0,1
1982,1982-06-28,Austria,France,1,0.445,2,0-1,0
1982,1982-06-28,Poland,Belgium,1,0.447,1,3-0,1
1982,1982-06-29,Germany,England,1,0.494,X,0-0,0
1982,1982-06-29,Italy,Argentina,2,0.528,1,2-1,0
1982,1982-07-01,Austria,Northern Ireland,1,0.537,X,2-2,0
1982,1982-07-01,Belgium,Russia,2,0.537,2,0-1,1
1982,1982-07-02,Spain,Germany,2,0.556,2,1-2,1
1982,1982-07-02,Argentina,Brazil,2,0.584,2,1-3,1
1982,1982-07-04,France,Northern Ireland,1,0.546,1,4-1,1
1982,1982-07-04,Poland,Russia,2,0.387,X,0-0,0
1982,1982-07-05,Italy,Brazil,2,0.65,1,3-2,0
1982,1982-07-05,Spain,England,2,0.521,X,0-0,0
1982,1982-07-08,Germany,France,1,0.576,X,3-3,0
1982,1982-07-08,Poland,Italy,1,0.462,2,0-2,0
1982,1982-07-10,Poland,France,1,0.408,1,3-2,1
1982,1982-07-11,Italy,Germany,2,0.506,1,3-1,0
