gameId,date,team,player,pos,starter,formation,appearances,foulsCommitted,foulsSuffered,ownGoals,redCards,subIns,yellowCards,goalsConceded,saves,shotsFaced,goalAssists,shotsOnTarget,totalGoals,totalShots,offsides
760415,2026-06-11,South Africa,Mbekezeli Mbokazi,CD-L,True,5-3-2,1.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,,0.0,0.0,1.0,0.0,1.0,0.0
760415,2026-06-11,South Africa,Nkosinathi Sibisi,CD-R,True,5-3-2,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0
760415,2026-06-11,South Africa,Aubrey Modiba,LB,True,5-3-2,1.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,,0.0,0.0,1.0,0.0,1.0,1.0
760415,2026-06-11,South Africa,Khuliso Mudau,RB,True,5-3-2,1.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0
760415,2026-06-11,South Africa,Sphephelo Sithole,CM,True,5-3-2,1.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0
760415,2026-06-11,South Africa,Jayden Adams,CM-L,True,5-3-2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0
760415,2026-06-11,South Africa,Teboho Mokoena,CM-R,True,5-3-2,1.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0
760415,2026-06-11,South Africa,Lyle Foster,CF-L,True,5-3-2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,1.0,0.0
760415,2026-06-11,South Africa,Iqraam Rayners,CF-R,True,5-3-2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0
760415,2026-06-11,South Africa,Oswin Appollis,SUB,False,5-3-2,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
760415,2026-06-11,South Africa,Sipho Chaine,SUB,False,5-3-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
760415,2026-06-11,South Africa,Themba Zwane,SUB,False,5-3-2,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0
760415,2026-06-11,South Africa,Kamogelo Sebelebele,SUB,False,5-3-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
760415,2026-06-11,South Africa,Khulumani Ndamane,SUB,False,5-3-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
760415,2026-06-11,South Africa,Thabang Matuludi,SUB,False,5-3-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
760415,2026-06-11,South Africa,Samukele Kabini,SUB,False,5-3-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
760415,2026-06-11,South Africa,Relebohile Mofokeng,SUB,False,5-3-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
760415,2026-06-11,South Africa,Thalente Mbatha,SUB,False,5-3-2,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0
760415,2026-06-11,South Africa,Ricardo Goss,SUB,False,5-3-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
760415,2026-06-11,South Africa,Bradley Cross,SUB,False,5-3-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
760415,2026-06-11,South Africa,Thapelo Maseko,SUB,False,5-3-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
760415,2026-06-11,South Africa,Tshepang Moremi,SUB,False,5-3-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
760415,2026-06-11,South Africa,Evidence Makgopa,SUB,False,5-3-2,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
760415,2026-06-11,South Africa,Olwethu Makhanya,SUB,False,5-3-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
