team,player,position,age,career_goals,goals_2024_26,goals_wc2026,pen_goals,first_year,last_year,fatigue
Canada,Alphonso Davies,Defence,25,9,0,0,1,2017,2022,baja
Iran,Mohammad Mohebi,Offence,27,9,7,1,0,2019,2026,baja
Panama,Cecilio Waterman,Midfield,35,9,2,0,0,2021,2025,alta
Congo DR,Cédric Bakambu,Offence,35,9,4,0,1,2017,2025,media
Uzbekistan,Igor Sergeev,Offence,33,9,2,0,0,2015,2025,alta
Netherlands,Virgil van Dijk,Defence,34,9,3,1,1,2018,2026,media
Uruguay,Darwin Núñez,Offence,27,8,2,0,1,2020,2024,baja
Germany,Joshua Kimmich,Midfield,31,8,4,0,2,2016,2025,baja
Germany,Jamal Musiala,Midfield,23,8,7,1,0,2021,2026,baja
Brazil,Lucas Paquetá,Midfield,28,8,2,0,1,2021,2025,baja
Portugal,Gonçalo Ramos,Offence,25,8,2,0,0,2022,2025,baja
New Zealand,Kosta Barbarouses,Offence,36,8,5,0,0,2012,2025,media
New Zealand,Elijah Just,Offence,26,8,7,2,0,2022,2026,baja
Belgium,Axel Witsel,Midfield,37,8,0,0,0,2011,2022,alta
Belgium,Leandro Trossard,Offence,31,8,2,0,0,2021,2025,baja
Panama,José Fajardo,Offence,32,8,5,0,0,2021,2025,baja
Qatar,Boualem Khoukhi,Defence,35,8,1,0,0,2015,2025,alta
Scotland,Ryan Christie,Midfield,31,8,3,0,3,2019,2025,baja
Germany,Florian Wirtz,Midfield,23,7,7,0,0,2024,2025,baja
Spain,Lamine Yamal,Offence,18,7,5,1,1,2023,2026,baja
Argentina,Julián Álvarez,Offence,26,7,2,0,0,2022,2024,baja
Mexico,Orbelín Pineda,Midfield,30,7,0,0,3,2017,2023,baja
France,Adrien Rabiot,Midfield,31,7,3,0,0,2021,2025,baja
New Zealand,Ben Waine,Offence,25,7,6,0,1,2022,2024,baja
Ecuador,Gonzalo Plata,Midfield,25,7,3,1,0,2020,2026,baja
Morocco,Achraf Hakimi,Defence,27,7,2,1,0,2017,2026,baja
Morocco,Ismael Saibari,Midfield,25,7,7,3,0,2025,2026,baja
Austria,Konrad Laimer,Midfield,29,7,3,0,0,2019,2025,baja
Canada,Tajon Buchanan,Midfield,27,7,3,0,0,2021,2025,baja
Congo DR,Yoane Wissa,Offence,29,7,5,1,1,2022,2026,baja
Ivory Coast,Franck Kessié,Midfield,29,7,5,1,2,2021,2026,baja
Qatar,Abdulaziz Hatem,Midfield,35,7,0,0,0,2019,2021,alta
Uzbekistan,Abbosbek Fayzullaev,Midfield,22,7,7,1,0,2024,2026,baja
Uruguay,Federico Valverde,Midfield,27,6,2,0,0,2017,2024,baja
Germany,Deniz Undav,Offence,29,6,6,3,0,2024,2026,baja
Paraguay,Antonio Sanabria,Offence,30,6,3,0,0,2017,2024,baja
Japan,Junya Ito,Offence,33,6,0,0,0,2021,2022,alta
England,Declan Rice,Midfield,27,6,3,0,0,2020,2025,baja
South Africa,Teboho Mokoena,Midfield,29,6,3,1,2,2002,2026,baja
Switzerland,Ruben Vargas,Midfield,27,6,1,0,0,2019,2024,baja
Sweden,Anthony Elanga,Offence,24,6,4,2,0,2022,2026,baja
Czechia,Ladislav Krejčí,Midfield,27,6,3,1,0,2014,2026,baja
Czechia,Vladimír Darida,Midfield,35,6,0,0,2,2015,2020,alta
Turkey,Merih Demiral,Defence,28,6,4,0,0,2021,2025,baja
Colombia,Yerry Mina,Defence,31,6,1,0,0,2016,2025,baja
Qatar,Mohammed Muntari,Offence,32,6,0,0,0,2015,2022,baja
Spain,Fabián Ruiz,Midfield,30,5,4,0,0,2019,2024,baja
Spain,Nico Williams,Offence,23,5,4,0,0,2023,2025,baja
Argentina,Nicolás Otamendi,Defence,38,5,1,0,0,2016,2024,alta
Argentina,Nicolás González,Offence,28,5,1,0,0,2020,2024,baja
Portugal,Rafael Leão,Offence,27,5,2,1,0,2022,2026,baja
Japan,Takefusa Kubo,Midfield,25,5,4,0,0,2023,2025,baja
England,Jude Bellingham,Midfield,22,5,4,1,0,2022,2026,baja
France,Ousmane Dembélé,Offence,29,5,3,1,0,2021,2026,baja
Switzerland,Johan Manzambi,Midfield,20,5,5,3,0,2025,2026,baja
Czechia,Pavel Šulc,Midfield,25,5,5,0,0,2024,2026,baja
Croatia,Ante Budimir,Offence,34,5,4,1,1,2023,2026,media
Turkey,Kaan Ayhan,Defence,31,5,1,1,0,2019,2026,baja
Belgium,Hans Vanaken,Midfield,33,5,2,0,0,2021,2025,alta
Morocco,Azzedine Ounahi,Midfield,26,5,3,0,0,2022,2025,baja
Egypt,Omar Marmoush,Offence,27,5,4,0,1,2021,2026,baja
Iran,Ramin Rezaeian,Defence,36,5,1,1,0,2015,2026,alta
Panama,José Luis Rodríguez,Midfield,28,5,3,0,0,2021,2025,baja
Cape Verde Islands,Garry Rodrigues,Midfield,35,5,1,0,0,2017,2024,alta
Ivory Coast,Amad Diallo,Midfield,23,5,5,1,0,2025,2026,baja
Ivory Coast,Nicolas Pépé,Offence,31,5,2,2,0,2021,2026,baja
Uzbekistan,Otabek Shukurov,Midfield,30,5,1,0,2,2016,2024,baja
Netherlands,Tijjani Reijnders,Midfield,27,5,5,0,0,2024,2025,baja
Norway,Thelo Aasgaard,Midfield,24,5,5,0,1,2025,2025,baja
Norway,Antonio Nusa,Midfield,21,5,5,0,0,2024,2025,baja
Curaçao,Juninho Bacuna,Midfield,28,5,3,0,0,2021,2025,baja
Curaçao,Gervane Kastaneer,Offence,30,5,5,0,0,2024,2025,baja
Curaçao,Kenji Gorré,Offence,31,5,3,0,0,2021,2025,baja
Uruguay,Maximiliano Araújo,Defence,26,4,4,2,0,2024,2026,baja
Germany,Nick Woltemade,Offence,24,4,4,0,0,2025,2025,baja
Paraguay,Julio Enciso,Offence,22,4,4,0,1,2024,2025,baja
Brazil,Marquinhos,Defence,32,4,0,0,0,2020,2023,baja
Brazil,Casemiro,Midfield,34,4,0,0,0,2019,2022,alta
Brazil,Matheus Cunha,Offence,27,4,4,3,0,2025,2026,baja
Portugal,Gonçalo Guedes,Midfield,29,4,0,0,0,2019,2022,baja
Japan,Keito Nakamura,Midfield,25,4,4,1,0,2024,2026,baja
Mexico,Edson Álvarez,Midfield,28,4,2,0,0,2017,2025,baja
