team,player,position,age,career_goals,goals_2024_26,goals_wc2026,pen_goals,first_year,last_year,fatigue
Scotland,Andrew Robertson,Defence,32,2,0,0,0,2017,2019,baja
Scotland,Che Adams,Offence,29,2,2,0,0,2025,2025,baja
Curaçao,Livano Comenencia,Defence,22,2,2,1,0,2025,2026,baja
Curaçao,Tahith Chong,Offence,26,2,2,0,0,2025,2025,baja
Curaçao,Jeremy Antonisse,Offence,24,2,2,0,0,2025,2025,baja
Uruguay,Ronald Araújo,Defence,27,1,0,0,0,2023,2023,baja
Uruguay,Matías Viña,Defence,28,1,1,0,0,2024,2024,baja
Uruguay,Manuel Ugarte,Midfield,25,1,1,0,0,2024,2024,baja
Uruguay,Facundo Pellistri,Midfield,24,1,1,0,0,2024,2024,baja
Uruguay,Federico Viñas,Offence,27,1,1,0,0,2025,2025,baja
Germany,David Raum,Defence,28,1,1,0,0,2025,2025,baja
Germany,Nico Schlotterbeck,Defence,26,1,1,1,0,2026,2026,baja
Germany,Nathaniel Brown,Defence,23,1,1,1,0,2026,2026,baja
Germany,Nadiem Amiri,Midfield,29,1,1,0,0,2025,2025,baja
Germany,Aleksandar Pavlović,Midfield,22,1,1,0,0,2024,2024,baja
Germany,Assan Ouédraogo,Midfield,20,1,1,0,0,2025,2025,baja
Germany,Jamie Leweling,Offence,25,1,1,0,0,2024,2024,baja
Spain,Martín Zubimendi,Midfield,27,1,1,0,0,2025,2025,baja
Spain,Víctor Muñoz,Offence,22,1,0,0,0,1982,1982,baja
Paraguay,Roberto Fernández,Goalkeeper,38,1,0,0,0,2021,2021,alta
Paraguay,Diego Gómez,Midfield,23,1,1,0,0,2024,2024,baja
Paraguay,Gabriel Ávalos,Offence,35,1,0,0,0,2021,2021,alta
Paraguay,Ramón Sosa,Offence,26,1,1,0,0,2024,2024,baja
Argentina,Nicolás Tagliafico,Defence,33,1,0,0,0,2023,2023,alta
Argentina,Lisandro Martínez,Defence,28,1,1,0,0,2024,2024,baja
Argentina,Nahuel Molina,Defence,28,1,0,0,0,2022,2022,baja
Argentina,Leandro Paredes,Midfield,31,1,0,0,0,2021,2021,baja
Argentina,Giovani Lo Celso,Midfield,30,1,0,0,0,2019,2019,baja
Argentina,Giuliano Simeone,Offence,23,1,1,0,0,2025,2025,baja
Ghana,Caleb Yirenkyi,Midfield,20,1,1,1,0,2026,2026,baja
Ghana,Antoine Semenyo,Offence,26,1,1,0,0,2025,2025,baja
Brazil,Alex Sandro,Defence,35,1,0,0,0,2021,2021,alta
Brazil,Gabriel Magalhães,Defence,28,1,0,0,0,2023,2023,baja
Portugal,Matheus Nunes,Defence,27,1,0,0,0,2022,2022,baja
Portugal,Renato Veiga,Defence,22,1,1,0,0,2025,2025,baja
Portugal,Rúben Neves,Midfield,29,1,1,0,0,2025,2025,baja
Portugal,Pedro Neto,Offence,26,1,1,0,0,2024,2024,baja
Japan,Takehiro Tomiyasu,Defence,27,1,0,0,0,2019,2019,baja
Mexico,Jorge Sánchez,Defence,28,1,0,0,0,2021,2021,baja
Mexico,Mateo Chávez,Defence,22,1,1,1,0,2026,2026,baja
Mexico,Álvaro Fidalgo,Midfield,29,1,1,1,0,2026,2026,baja
England,Ezri Konsa,Defence,28,1,1,0,0,2025,2025,baja
England,Reece James,Defence,26,1,1,0,0,2025,2025,baja
England,Marc Guéhi,Defence,25,1,1,0,0,2025,2025,baja
England,Noni Madueke,Offence,24,1,1,0,0,2025,2025,baja
United States,Auston Trusty,Defence,27,1,1,1,0,2026,2026,baja
United States,Sergiño Dest,Defence,25,1,0,0,0,2021,2021,baja
United States,Alex Freeman,Defence,21,1,1,1,0,2026,2026,baja
United States,Sebastian Berhalter,Midfield,25,1,1,1,0,2026,2026,baja
France,N'Golo Kanté,Midfield,35,1,0,0,0,2020,2020,alta
France,Rayan Cherki,Midfield,22,1,1,0,0,2025,2025,baja
France,Maghnes Akliouche,Midfield,24,1,1,0,0,2025,2025,baja
France,Warren Zaïre-Emery,Midfield,20,1,0,0,0,2023,2023,baja
South Africa,Khuliso Mudau,Defence,31,1,0,0,0,2023,2023,baja
South Africa,Jayden Adams,Midfield,25,1,1,0,0,2025,2025,baja
South Africa,Thalente Mbatha,Midfield,26,1,1,0,0,2025,2025,baja
South Africa,Iqraam Rayners,Offence,30,1,1,0,0,2024,2024,baja
South Africa,Tshepang Moremi,Offence,25,1,1,0,0,2025,2025,baja
Algeria,Ramy Bensebaini,Defence,31,1,0,0,0,2021,2021,baja
Algeria,Jaouen Hadjam,Defence,23,1,1,0,0,2025,2025,baja
Algeria,Houssem Aouar,Midfield,27,1,1,0,0,2024,2024,baja
Algeria,Adil Boulbina,Midfield,23,1,1,0,0,2026,2026,baja
Algeria,Nadhir Benbouali,Offence,26,1,1,1,0,2026,2026,baja
Australia,Aziz Behich,Defence,35,1,1,0,0,2025,2025,media
Australia,Jordan Bos,Defence,23,1,1,0,0,2024,2024,baja
New Zealand,Liberato Cacace,Defence,25,1,0,0,0,2022,2022,baja
New Zealand,Michael Boxall,Defence,37,1,1,0,0,2025,2025,media
New Zealand,Joe Bell,Midfield,27,1,0,0,0,2022,2022,baja
New Zealand,Ben Old,Midfield,23,1,1,0,0,2024,2024,baja
New Zealand,Logan Rogerson,Offence,28,1,0,0,1,2022,2022,baja
New Zealand,Jesse Randall,Offence,23,1,1,0,0,2024,2024,baja
Switzerland,Michel Aebischer,Midfield,29,1,1,0,0,2024,2024,baja
Ecuador,Piero Hincapié,Defence,24,1,0,0,0,2021,2021,baja
Ecuador,Jordy Caicedo,Offence,28,1,0,0,1,2022,2022,baja
Ecuador,Nilson Angulo,Offence,23,1,1,1,0,2026,2026,baja
Sweden,Gustaf Lagerbielke,Defence,26,1,1,0,0,2026,2026,baja
Sweden,Ken Sema,Midfield,32,1,1,0,0,2024,2024,baja
Sweden,Benjamin Nygren,Offence,24,1,1,0,0,2025,2025,baja
Czechia,Tomáš Holeš,Defence,33,1,0,0,0,2021,2021,alta
Czechia,Michal Sadílek,Midfield,27,1,1,1,0,2026,2026,baja
Croatia,Duje Ćaleta-Car,Defence,29,1,0,0,0,2021,2021,baja
Croatia,Luka Sučić,Midfield,23,1,1,0,0,2025,2025,baja
Croatia,Toni Fruk,Midfield,25,1,1,0,0,2025,2025,baja
Saudi Arabia,Ali Lajami,Defence,30,1,1,0,0,2024,2024,baja
Saudi Arabia,Abdullah Al-Hamdan,Offence,26,1,0,0,0,2019,2019,baja
Tunisia,Omar Rekik,Defence,24,1,1,1,0,2026,2026,baja
Tunisia,Montassar Talbi,Defence,28,1,1,0,0,2025,2025,baja
Tunisia,Anis Ben Slimane,Midfield,25,1,0,0,0,2021,2021,baja
Tunisia,Hannibal Mejbri,Midfield,23,1,1,0,0,2025,2025,baja
Turkey,Çağlar Söyüncü,Defence,30,1,0,0,0,2021,2021,baja
Turkey,Ferdi Kadıoğlu,Defence,26,1,1,0,0,2026,2026,baja
Turkey,Zeki Çelik,Defence,29,1,1,0,0,2025,2025,baja
Turkey,Salih Özcan,Midfield,28,1,1,0,0,2025,2025,baja
Turkey,İsmail Yüksek,Midfield,27,1,0,0,0,2022,2022,baja
Senegal,Krépin Diatta,Midfield,27,1,0,0,0,2019,2019,baja
Senegal,Pape Sarr,Midfield,23,1,0,0,0,2000,2000,baja
Belgium,Brandon Mechele,Defence,33,1,1,0,0,2025,2025,media
Belgium,Arthur Theate,Defence,26,1,1,0,0,2025,2025,baja
Belgium,Nicolas Raskin,Midfield,25,1,1,0,0,2025,2025,baja
Morocco,Chadi Riad,Defence,23,1,1,0,0,2024,2024,baja
Morocco,Bilal El Khannouss,Midfield,21,1,1,0,0,2025,2025,baja
Morocco,Gessime Yassine,Offence,20,1,1,1,0,2026,2026,baja
Colombia,Jaminton Campaz,Midfield,26,1,1,1,0,2026,2026,baja
Egypt,Yasser Ibrahim,Defence,33,1,1,0,0,2026,2026,media
Egypt,Mohamed Abdelmonem,Defence,27,1,0,0,0,2022,2022,baja
Egypt,Emam Ashour,Midfield,28,1,1,1,0,2026,2026,baja
Egypt,Marwan Attia,Midfield,27,1,1,0,0,2026,2026,baja
Egypt,Mostafa Ziko,Midfield,29,1,1,1,0,2026,2026,baja
Egypt,Ibrahim Adel,Offence,25,1,1,0,0,2025,2025,baja
Canada,Richie Laryea,Defence,31,1,0,0,0,2021,2021,baja
Canada,Alistair Johnston,Defence,27,1,0,0,0,2021,2021,baja
Canada,Niko Sigur,Midfield,22,1,1,0,0,2025,2025,baja
Canada,Liam Millar,Offence,26,1,0,0,0,2023,2023,baja
Canada,Tani Oluwaseyi,Offence,26,1,1,0,0,2025,2025,baja
Haiti,Derrick Etienne,Midfield,29,1,0,0,0,2021,2021,baja
Haiti,Wilson Isidor,Offence,25,1,1,1,0,2026,2026,baja
Iran,Milad Mohammadi,Defence,32,1,0,0,0,2021,2021,baja
Iran,Rouzbeh Cheshmi,Defence,32,1,0,0,0,2022,2022,baja
Iran,Saleh Hardani,Defence,27,1,1,0,0,2024,2024,baja
Iran,Saeid Ezatolahi,Midfield,29,1,0,0,0,2015,2015,baja
Iran,Mehdi Torabi,Midfield,31,1,0,0,0,2015,2015,baja
Iran,Saman Ghoddos,Offence,32,1,0,0,0,2019,2019,baja
Bosnia-Herzegovina,Nihad Mujakić,Defence,28,1,1,0,0,2025,2025,baja
Bosnia-Herzegovina,Nikola Katić,Defence,29,1,1,0,0,2025,2025,baja
Bosnia-Herzegovina,Amar Dedić,Defence,23,1,0,0,0,2023,2023,baja
Bosnia-Herzegovina,Jovo Lukić,Offence,27,1,1,1,0,2026,2026,baja
Panama,Andrés Andrade,Defence,27,1,0,0,0,2021,2021,baja
Panama,Carlos Harvey,Midfield,26,1,1,0,0,2025,2025,baja
Cape Verde Islands,Sidny Lopes Cabral,Defence,23,1,1,0,0,2025,2025,baja
Cape Verde Islands,Yannick Semedo,Midfield,30,1,1,0,0,2025,2025,baja
Cape Verde Islands,Telmo Arcanjo,Midfield,25,1,1,0,0,2025,2025,baja
Cape Verde Islands,Jovane Cabral,Offence,28,1,1,0,0,2025,2025,baja
Cape Verde Islands,Gilson Tavares,Offence,24,1,1,0,0,2024,2024,baja
Cape Verde Islands,Hélio Varela,Offence,24,1,1,1,0,2026,2026,baja
Congo DR,Axel Tuanzebe,Defence,28,1,1,0,0,2026,2026,baja
Congo DR,Arthur Masuaku,Defence,32,1,1,0,0,2024,2024,baja
Congo DR,Charles Pickel,Midfield,29,1,1,0,0,2025,2025,baja
Congo DR,Theo Bongonda,Offence,30,1,1,0,0,2025,2025,baja
Ivory Coast,Emmanuel Agbadou,Defence,29,1,1,0,0,2025,2025,baja
Ivory Coast,Jean Michaël Seri,Midfield,34,1,0,0,0,2021,2021,alta
Qatar,Homam Ahmed,Defence,26,1,0,0,0,2021,2021,baja
Qatar,Ró-Ró,Defence,35,1,1,0,0,2025,2025,media
Qatar,Ahmed Fathy,Midfield,33,1,0,0,0,2008,2008,alta
Qatar,Ahmed Al Ganehi,Midfield,25,1,1,0,0,2025,2025,baja
Qatar,Edmílson,Offence,31,1,0,0,0,2002,2002,baja
Jordan,Mohammad Abu Zrayq,Offence,28,1,1,0,0,2024,2024,baja
Iraq,Hussein Ali,Defence,24,1,1,0,0,2024,2024,baja
Iraq,Rebin Sulaka,Defence,34,1,1,0,0,2024,2024,media
Iraq,Zaid Tahseen,Defence,25,1,1,0,0,2024,2024,baja
Uzbekistan,Rustam Ashurmatov,Defence,29,1,1,0,0,2024,2024,baja
Uzbekistan,Jamshid Iskanderov,Midfield,32,1,0,0,0,2019,2019,baja
Uzbekistan,Odiljon Hamrobekov,Midfield,30,1,1,0,0,2024,2024,baja
Netherlands,Jan Paul van Hecke,Defence,26,1,1,1,0,2026,2026,baja
Netherlands,Marten de Roon,Midfield,35,1,0,0,0,2023,2023,alta
Netherlands,Guus Til,Midfield,28,1,0,0,0,2021,2021,baja
Netherlands,Mats Wieffer,Midfield,26,1,0,0,0,2023,2023,baja
Netherlands,Quinten Timber,Midfield,25,1,1,0,0,2025,2025,baja
Norway,Kristoffer Ajer,Defence,28,1,1,0,0,2025,2025,baja
Norway,Julian Ryerson,Defence,28,1,1,0,0,2025,2025,baja
Norway,Leo Østigård,Defence,26,1,1,1,0,2026,2026,baja
Norway,Sander Berge,Midfield,28,1,0,0,0,2019,2019,baja
Norway,Fredrik Aursnes,Midfield,30,1,0,0,0,2023,2023,baja
Scotland,Kieran Tierney,Defence,29,1,1,0,0,2025,2025,baja
Scotland,Jack Hendry,Defence,31,1,0,0,0,2022,2022,baja
Scotland,Anthony Ralston,Defence,27,1,0,0,0,2022,2022,baja
Scotland,John Souttar,Defence,29,1,0,0,0,2021,2021,baja
Scotland,Scott McKenna,Defence,29,1,0,0,0,2022,2022,baja
Scotland,Nathan Patterson,Defence,24,1,0,0,0,2021,2021,baja
Scotland,Lewis Ferguson,Midfield,26,1,1,0,0,2025,2025,baja
Curaçao,Roshon van Eijma,Defence,28,1,1,0,0,2025,2025,baja
Curaçao,Juriën Gaari,Defence,32,1,0,0,0,2019,2019,baja
Curaçao,Ar'jany Martha,Defence,22,1,1,0,0,2025,2025,baja
Curaçao,Tyrese Noslin,Defence,23,1,1,0,0,2025,2025,baja
Curaçao,Kevin Felida,Midfield,26,1,1,0,0,2025,2025,baja
Curaçao,Sontje Hansen,Offence,24,1,1,0,0,2025,2025,baja
Curaçao,Jearl Margaritha,Offence,26,1,1,0,0,2025,2025,baja
Curaçao,Brandley Kuwas,Offence,33,1,0,0,0,2021,2021,alta
Uruguay,Fernando Muslera,Goalkeeper,40,0,0,0,0,,,baja
Uruguay,Santiago Mele,Goalkeeper,28,0,0,0,0,,,baja
Uruguay,Sergio Rochet,Goalkeeper,33,0,0,0,0,,,baja
Uruguay,Guillermo Varela,Defence,33,0,0,0,0,,,baja
Uruguay,Sebastían Cáceres,Defence,26,0,0,0,0,,,baja
Uruguay,Joaquín Piquerez,Defence,27,0,0,0,0,,,baja
Uruguay,Santiago Bueno,Defence,27,0,0,0,0,,,baja
Uruguay,José Giménez,Defence,31,0,0,0,0,,,baja
Uruguay,Giorgian De Arrascaeta,Midfield,32,0,0,0,0,,,baja
Uruguay,Brian Rodríguez,Midfield,26,0,0,0,0,,,baja
Uruguay,Rodrigo Zalazar,Midfield,26,0,0,0,0,,,baja
Uruguay,Emiliano Martínez,Midfield,26,0,0,0,0,,,baja
Uruguay,Juan Sanabria,Midfield,26,0,0,0,0,,,baja
Uruguay,Nicolas de la Cruz,Midfield,29,0,0,0,0,,,baja
Germany,Oliver Baumann,Goalkeeper,36,0,0,0,0,,,baja
Germany,Manuel Neuer,Goalkeeper,40,0,0,0,0,,,baja
Germany,Alexander Nübel,Goalkeeper,29,0,0,0,0,,,baja
Germany,Jonathan Tah,Defence,30,0,0,0,0,,,baja
Germany,Waldemar Anton,Defence,29,0,0,0,0,,,baja
Germany,Malick Thiaw,Defence,24,0,0,0,0,,,baja
Germany,Pascal Groß,Midfield,35,0,0,0,0,,,baja
Germany,Felix Kalu Nmecha,Midfield,25,0,0,0,0,,,baja
Germany,Angelo Stiller,Midfield,25,0,0,0,0,,,baja
Germany,Maximilian Beier,Offence,23,0,0,0,0,,,baja
Spain,David Raya,Goalkeeper,30,0,0,0,0,,,baja
Spain,Unai Simón,Goalkeeper,29,0,0,0,0,,,baja
Spain,Joan García,Goalkeeper,25,0,0,0,0,,,baja
Spain,Cucurella,Defence,27,0,0,0,0,,,baja
Spain,Alejandro Grimaldo,Defence,30,0,0,0,0,,,baja
Spain,Pedro Porro,Defence,26,0,0,0,0,,,baja
Spain,Eric García,Defence,25,0,0,0,0,,,baja
Spain,Marc Pubill,Defence,23,0,0,0,0,,,baja
Spain,Pau Cubarsí,Defence,19,0,0,0,0,,,baja
Spain,Marcos Llorente,Midfield,31,0,0,0,0,,,baja
Spain,Ferrán Torres,Midfield,26,0,0,0,0,,,baja
Spain,Pablo Gavira,Midfield,21,0,0,0,0,,,baja
Spain,Borja Iglesias,Offence,33,0,0,0,0,,,baja
Spain,Yeremi Pino,Offence,23,0,0,0,0,,,baja
Paraguay,Gastón Olveira,Goalkeeper,33,0,0,0,0,,,baja
Paraguay,Orlando Gill,Goalkeeper,26,0,0,0,0,,,baja
Paraguay,Fabián Balbuena,Defence,34,0,0,0,0,,,baja
Paraguay,Juan Cáceres,Defence,26,0,0,0,0,,,baja
Paraguay,Gustavo Velázquez,Defence,35,0,0,0,0,,,baja
Paraguay,José Canale,Defence,29,0,0,0,0,,,baja
Paraguay,Alexandro Maidana,Defence,20,0,0,0,0,,,baja
Paraguay,Andrés Cubas,Midfield,30,0,0,0,0,,,baja
Paraguay,Kaku,Midfield,31,0,0,0,0,,,baja
Paraguay,Mauricio,Midfield,25,0,0,0,0,,,baja
Paraguay,Braian Ojeda,Midfield,25,0,0,0,0,,,baja
Paraguay,Damian Bobadilla,Midfield,24,0,0,0,0,,,baja
Paraguay,Isidro Pitta,Offence,26,0,0,0,0,,,baja
Paraguay,Gustavo Caballero,Offence,24,0,0,0,0,,,baja
Paraguay,Alex Arce,Offence,31,0,0,0,0,,,baja
Argentina,Géronimo Rulli,Goalkeeper,34,0,0,0,0,,,baja
Argentina,Emiliano Martínez,Goalkeeper,33,0,0,0,0,,,baja
Argentina,Juan Musso,Goalkeeper,32,0,0,0,0,,,baja
Argentina,Gonzalo Montiel,Defence,29,0,0,0,0,,,baja
Argentina,Christian Romero,Defence,28,0,0,0,0,,,baja
Argentina,Facundo Medina,Defence,27,0,0,0,0,,,baja
Argentina,Leonardo Balerdi,Defence,27,0,0,0,0,,,baja
Argentina,Valentin Barco,Defence,21,0,0,0,0,,,baja
Argentina,Rodrigo de Paul,Midfield,32,0,0,0,0,,,baja
Argentina,Exequiel Palacios,Midfield,27,0,0,0,0,,,baja
Argentina,Nico Paz,Midfield,21,0,0,0,0,,,baja
Argentina,José Manuel López,Offence,25,0,0,0,0,,,baja
Ghana,Lawrence Ati-Zigi,Goalkeeper,29,0,0,0,0,,,baja
Ghana,Joseph Anang,Goalkeeper,26,0,0,0,0,,,baja
Ghana,Benjamin Asare,Goalkeeper,33,0,0,0,0,,,baja
Ghana,Abdul Rahman Baba,Defence,31,0,0,0,0,,,baja
Ghana,Derrick Luckassen,Defence,30,0,0,0,0,,,baja
Ghana,Gideon Mensah,Defence,27,0,0,0,0,,,baja
Ghana,Abdul Mumin,Defence,28,0,0,0,0,,,baja
Ghana,Jerome Opoku,Defence,27,0,0,0,0,,,baja
Ghana,Alidu Seidu,Defence,26,0,0,0,0,,,baja
Ghana,Marvin Senaya,Defence,25,0,0,0,0,,,baja
Ghana,Jonas Adjei Adjetey,Defence,22,0,0,0,0,,,baja
Ghana,Kojo Peprah Oppong,Defence,22,0,0,0,0,,,baja
Ghana,Elisha Owusu,Midfield,28,0,0,0,0,,,baja
Ghana,Kwasi Sibo,Midfield,28,0,0,0,0,,,baja
Ghana,Augustine Boakye,Midfield,25,0,0,0,0,,,baja
Ghana,Brandon Thomas-Asante,Offence,27,0,0,0,0,,,baja
Ghana,Kamal Deen Sulemana,Offence,24,0,0,0,0,,,baja
Ghana,Abdul Issahaku,Offence,22,0,0,0,0,,,baja
Ghana,Christopher Bonsu Baah,Offence,21,0,0,0,0,,,baja
Ghana,Prince Adu,Offence,22,0,0,0,0,,,baja
Brazil,Weverton,Goalkeeper,38,0,0,0,0,,,baja
Brazil,Alisson Becker,Goalkeeper,33,0,0,0,0,,,baja
Brazil,Ederson,Goalkeeper,32,0,0,0,0,,,baja
Brazil,Roger Ibañez,Defence,27,0,0,0,0,,,baja
Brazil,Bremer,Defence,29,0,0,0,0,,,baja
Brazil,Douglas Santos,Defence,32,0,0,0,0,,,baja
Brazil,Danilo Luiz da Silva,Defence,34,0,0,0,0,,,baja
Brazil,Léo Pereira,Defence,30,0,0,0,0,,,baja
Brazil,Wesley,Defence,22,0,0,0,0,,,baja
Brazil,Fabinho,Midfield,32,0,0,0,0,,,baja
Brazil,Danilo dos Santos de Oliveira,Midfield,25,0,0,0,0,,,baja
Brazil,Vinicius Junior,Offence,25,0,0,0,0,,,baja
Brazil,Martinelli,Offence,25,0,0,0,0,,,baja
Brazil,Thiago,Offence,24,0,0,0,0,,,baja
Brazil,Endrick,Offence,19,0,0,0,0,,,baja
Brazil,Rayan,Offence,19,0,0,0,0,,,baja
Portugal,José Sá,Goalkeeper,33,0,0,0,0,,,baja
Portugal,Rui Silva,Goalkeeper,32,0,0,0,0,,,baja
Portugal,Diogo Costa,Goalkeeper,26,0,0,0,0,,,baja
Portugal,Nélson Semedo,Defence,32,0,0,0,0,,,baja
Portugal,Tomas Araujo,Defence,24,0,0,0,0,,,baja
Portugal,Samuel Almeida Costa,Midfield,25,0,0,0,0,,,baja
Portugal,Vitinha,Midfield,26,0,0,0,0,,,baja
Portugal,Joao Neves,Midfield,21,0,0,0,0,,,baja
Portugal,Trincão,Offence,26,0,0,0,0,,,baja
Japan,Keisuke Ōsako,Goalkeeper,26,0,0,0,0,,,baja
Japan,Zion Suzuki,Goalkeeper,23,0,0,0,0,,,baja
Japan,Tomoki Hayakawa,Goalkeeper,27,0,0,0,0,,,baja
Japan,Yūto Nagatomo,Defence,39,0,0,0,0,,,baja
Japan,Hiroki Ito,Defence,27,0,0,0,0,,,baja
Japan,Shogo Taniguchi,Defence,34,0,0,0,0,,,baja
Japan,Ayumu Seko,Defence,26,0,0,0,0,,,baja
Japan,Tsuyoshi Watanabe,Defence,29,0,0,0,0,,,baja
Japan,Junnosuke Suzuki,Defence,22,0,0,0,0,,,baja
Japan,Kaishu Sano,Midfield,25,0,0,0,0,,,baja
Japan,Yuito Suzuki,Midfield,24,0,0,0,0,,,baja
Japan,Ritsu Doan,Offence,28,0,0,0,0,,,baja
Japan,Kento Shiogai,Offence,21,0,0,0,0,,,baja
Japan,Keisuke Goto,Offence,21,0,0,0,0,,,baja
Mexico,Guillermo Ochoa,Goalkeeper,40,0,0,0,0,,,baja
Mexico,Carlos Acevedo,Goalkeeper,30,0,0,0,0,,,baja
Mexico,José Rangel,Goalkeeper,26,0,0,0,0,,,baja
Mexico,Jesús Gallardo,Defence,31,0,0,0,0,,,baja
Mexico,Johan Vásquez,Defence,27,0,0,0,0,,,baja
Mexico,Israel Reyes,Defence,26,0,0,0,0,,,baja
Mexico,Erik Lira,Midfield,26,0,0,0,0,,,baja
Mexico,Brian Gutiérrez,Midfield,23,0,0,0,0,,,baja
Mexico,Obed Vargas,Midfield,20,0,0,0,0,,,baja
Mexico,Gilberto Mora,Midfield,17,0,0,0,0,,,baja
Mexico,Guillermo Martínez,Offence,31,0,0,0,0,,,baja
Mexico,César Huerta,Offence,25,0,0,0,0,,,baja
Mexico,Armando González,Offence,23,0,0,0,0,,,baja
England,Jordan Pickford,Goalkeeper,32,0,0,0,0,,,baja
England,Dean Henderson,Goalkeeper,29,0,0,0,0,,,baja
England,James Trafford,Goalkeeper,23,0,0,0,0,,,baja
England,Dan Burn,Defence,34,0,0,0,0,,,baja
England,Trevoh Chalobah,Defence,26,0,0,0,0,,,baja
England,Djed Spence,Defence,25,0,0,0,0,,,baja
England,Jarell Quansah,Defence,23,0,0,0,0,,,baja
England,Nico O'Reilly,Defence,21,0,0,0,0,,,baja
England,Morgan Rogers,Midfield,23,0,0,0,0,,,baja
England,Elliot Anderson,Midfield,23,0,0,0,0,,,baja
England,Kobbie Mainoo,Midfield,21,0,0,0,0,,,baja
England,Ivan Toney,Offence,30,0,0,0,0,,,baja
United States,Matt Turner,Goalkeeper,32,0,0,0,0,,,baja
United States,Matt Freese,Goalkeeper,27,0,0,0,0,,,baja
United States,Chris Brady,Goalkeeper,22,0,0,0,0,,,baja
United States,Tim Ream,Defence,38,0,0,0,0,,,baja
United States,Mark McKenzie,Defence,27,0,0,0,0,,,baja
United States,Joseph Scally,Defence,23,0,0,0,0,,,baja
United States,Alejandro Zendejas,Midfield,28,0,0,0,0,,,baja
United States,Cristian Roldan,Midfield,31,0,0,0,0,,,baja
United States,Tyler Adams,Midfield,27,0,0,0,0,,,baja
United States,Gio Reyna,Midfield,23,0,0,0,0,,,baja
United States,Tim Weah,Offence,26,0,0,0,0,,,baja
United States,Max Arfsten,Offence,25,0,0,0,0,,,baja
South Korea,Seung-Gyu Kim,Goalkeeper,35,0,0,0,0,,,baja
South Korea,Bum-keun Song,Goalkeeper,28,0,0,0,0,,,baja
South Korea,Hyeon-woo Jo,Goalkeeper,34,0,0,0,0,,,baja
South Korea,Min-Jae Kim,Defence,29,0,0,0,0,,,baja
South Korea,Moon-hwan Kim,Defence,30,0,0,0,0,,,baja
South Korea,Han-bum Lee,Defence,24,0,0,0,0,,,baja
South Korea,Young-woo Seol,Defence,27,0,0,0,0,,,baja
South Korea,Jin-seob Park,Defence,30,0,0,0,0,,,baja
South Korea,Tae-hyeon Kim,Defence,25,0,0,0,0,,,baja
South Korea,Gi-hyuk Lee,Defence,25,0,0,0,0,,,baja
South Korea,Tae-seok Lee,Defence,23,0,0,0,0,,,baja
South Korea,Cho Wi-Je,Defence,24,0,0,0,0,,,baja
South Korea,Jens Castrop,Midfield,22,0,0,0,0,,,baja
South Korea,In-beom Hwang,Midfield,29,0,0,0,0,,,baja
South Korea,Dong-gyeong Lee,Midfield,28,0,0,0,0,,,baja
South Korea,Jae-sung Lee,Midfield,33,0,0,0,0,,,baja
South Korea,Jin-Gyu Kim,Midfield,29,0,0,0,0,,,baja
South Korea,Seung-Ho Paik,Midfield,29,0,0,0,0,,,baja
South Korea,Kang-in Lee,Midfield,25,0,0,0,0,,,baja
South Korea,Joon-ho Bae,Midfield,22,0,0,0,0,,,baja
South Korea,Hwang Heechan,Offence,30,0,0,0,0,,,baja
South Korea,Heung-min Son,Offence,33,0,0,0,0,,,baja
South Korea,Hyun-jun Yang,Offence,24,0,0,0,0,,,baja
South Korea,Gue-Sung Cho,Offence,28,0,0,0,0,,,baja
South Korea,Hyun-Gyu Oh,Offence,25,0,0,0,0,,,baja
South Korea,Ji-sung Eom,Offence,24,0,0,0,0,,,baja
France,Brice Samba,Goalkeeper,32,0,0,0,0,,,baja
France,Mike Maignan,Goalkeeper,30,0,0,0,0,,,baja
France,Robin Risser,Goalkeeper,21,0,0,0,0,,,baja
France,Theo Hernández,Defence,28,0,0,0,0,,,baja
France,Lucas Digne,Defence,32,0,0,0,0,,,baja
France,Lucas Hernández,Defence,30,0,0,0,0,,,baja
France,Jules Koundé,Defence,27,0,0,0,0,,,baja
France,Ibrahima Konaté,Defence,27,0,0,0,0,,,baja
France,William Saliba,Defence,25,0,0,0,0,,,baja
France,Maxence Lacroix,Defence,26,0,0,0,0,,,baja
France,Malo Gusto,Defence,23,0,0,0,0,,,baja
France,Aurélien Tchouameni,Midfield,26,0,0,0,0,,,baja
France,Manu Koné,Midfield,25,0,0,0,0,,,baja
France,Desire Doue,Midfield,21,0,0,0,0,,,baja
France,Marcus Thuram-Ulien,Offence,28,0,0,0,0,,,baja
South Africa,Ronwen Williams,Goalkeeper,34,0,0,0,0,,,baja
South Africa,Sipho Chaine,Goalkeeper,29,0,0,0,0,,,baja
South Africa,Ricardo Goss,Goalkeeper,32,0,0,0,0,,,baja
South Africa,Aubrey Modiba,Defence,30,0,0,0,0,,,baja
South Africa,Nkosinathi Sibisi,Defence,30,0,0,0,0,,,baja
South Africa,Olwethu Makhanya,Defence,22,0,0,0,0,,,baja
South Africa,Bradley Cross,Defence,25,0,0,0,0,,,baja
South Africa,Samukelo Kabini,Defence,22,0,0,0,0,,,baja
South Africa,Ime Okon,Defence,22,0,0,0,0,,,baja
South Africa,Mbekezeli Mbokazi,Defence,20,0,0,0,0,,,baja
South Africa,Khulumani Ndamane,Defence,22,0,0,0,0,,,baja
