league,season,team,player,nation,pos,age,Club,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK
INT-World Cup,2026,Spain,Marcos Llorente,Spain,DF,31-148,1. Atlético Madrid,1995,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Spain,Mikel Merino,Spain,MF,30-005,1. Arsenal,1996,2,0,50,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Spain,Mikel Oyarzabal,Spain,FW,29-067,1. Real Sociedad,1997,2,2,135,1.5,2,1,3,2,0,0,0,0,1.33,0.67,2.0,1.33,2.0
INT-World Cup,2026,Spain,Nico Williams,Spain,MF,23-350,1. Athletic Club,2002,2,0,33,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Spain,Pau Cubarsí,Spain,DF,19-156,1. Barcelona,2007,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Spain,Pedri,Spain,MF,23-214,1. Barcelona,2002,2,2,159,1.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Spain,Pedro Porro,Spain,DF,26-287,1. Tottenham,1999,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Spain,Rodri,Spain,MF,30-005,1. Manchester City,1996,2,2,176,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Spain,Unai Simón,Spain,GK,29-016,1. Athletic Club,1997,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Spain,Yéremy Pino,Spain,"FW,MF",23-250,1. Crystal Palace,2002,1,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Spain,Álex Baena,Spain,FW,24-342,1. Atlético Madrid,2001,1,1,61,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Sweden,Alexander Bernhardsson,Sweden,MF,27-292,2. Holstein Kiel,1998,3,3,217,2.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Sweden,Alexander Isak,Sweden,FW,26-279,1. Liverpool,1999,3,3,269,3.0,1,3,4,1,0,0,0,0,0.33,1.0,1.34,0.33,1.34
INT-World Cup,2026,Sweden,Anthony Elanga,Sweden,FW,24-061,1. Newcastle,2002,3,1,127,1.4,2,0,2,2,0,0,0,0,1.42,0.0,1.42,1.42,1.42
INT-World Cup,2026,Sweden,Benjamin Nygren,Sweden,MF,24-354,1. Celtic,2001,3,2,121,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Sweden,Besfort Zeneli,Sweden,MF,23-218,1. Union SG,2002,1,0,35,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Sweden,Carl Starfelt,Sweden,DF,31-026,1. Celta Vigo,1995,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Sweden,Daniel Svensson,Sweden,"DF,MF",24-135,1. Dortmund,2002,2,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Sweden,Elliot Stroud,Sweden,MF,24-005,1. Mjällby,2002,3,1,101,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Sweden,Gabriel Gudmundsson,Sweden,"MF,DF",27-059,1. Leeds United,1999,3,3,240,2.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Sweden,Gustaf Lagerbielke,Sweden,DF,26-078,1. Braga,2000,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Sweden,Isak Hien,Sweden,DF,27-165,1. Atalanta,1999,3,3,216,2.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Sweden,Jacob Widell Zetterström,Sweden,GK,27-351,2. Derby County,1998,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Sweden,Jesper Karlström,Sweden,MF,31-006,1. Udinese,1995,2,2,138,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Sweden,Ken Sema,Sweden,"FW,MF",32-270,1. Pafos FC,1993,1,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Sweden,Kristoffer Nordfeldt,Sweden,GK,37-004,1. AIK Stockholm,1989,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Sweden,Lucas Bergvall,Sweden,MF,20-145,1. Tottenham,2006,3,0,116,1.3,0,1,1,0,0,0,1,0,0.0,0.78,0.78,0.0,0.78
INT-World Cup,2026,Sweden,Mattias Svanberg,Sweden,MF,27-173,1. Wolfsburg,1999,1,0,7,0.1,1,0,1,1,0,0,0,0,12.86,0.0,12.86,12.86,12.86
INT-World Cup,2026,Sweden,Taha Ali,Sweden,"FW,MF",27-361,1. Malmö,1998,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Sweden,Victor Lindelöf,Sweden,"DF,MF",31-345,1. Aston Villa,1994,3,3,266,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Sweden,Viktor Gyökeres,Sweden,FW,28-023,1. Arsenal,1998,3,3,270,3.0,1,2,3,1,0,0,1,0,0.33,0.67,1.0,0.33,1.0
INT-World Cup,2026,Sweden,Yasin Ayari,Sweden,MF,22-264,1. Brighton,2003,3,3,258,2.9,2,0,2,2,0,0,1,0,0.7,0.0,0.7,0.7,0.7
INT-World Cup,2026,Switzerland,Ardon Jashari,Switzerland,MF,23-332,1. Milan,2002,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Switzerland,Breel Embolo,Switzerland,FW,29-133,1. Rennes,1997,3,3,262,2.9,1,2,3,0,1,1,0,0,0.34,0.69,1.03,0.0,0.69
INT-World Cup,2026,Switzerland,Cedric Itten,Switzerland,"FW,MF",29-182,2. Düsseldorf,1996,2,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Switzerland,Christian Fassnacht,Switzerland,"FW,MF",32-228,1. Young Boys,1993,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Switzerland,Dan Ndoye,Switzerland,"MF,FW",25-245,1. Nottingham,2000,3,2,146,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Switzerland,Denis Zakaria,Switzerland,DF,29-219,1. Monaco,1996,1,1,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Switzerland,Djibril Sow,Switzerland,MF,29-141,1. Sevilla,1997,2,1,93,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Switzerland,Fabian Rieder,Switzerland,MF,24-131,1. Augsburg,2002,2,1,95,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Switzerland,Granit Xhaka,Switzerland,MF,33-273,1. Sunderland,1992,3,3,270,3.0,1,0,1,0,1,1,1,0,0.33,0.0,0.33,0.0,0.0
INT-World Cup,2026,Switzerland,Gregor Kobel,Switzerland,GK,28-203,1. Dortmund,1997,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Switzerland,Johan Manzambi,Switzerland,FW,20-256,1. Freiburg,2005,3,1,129,1.4,3,1,4,3,0,0,0,0,2.09,0.7,2.79,2.09,2.79
INT-World Cup,2026,Switzerland,Luca Jaquez,Switzerland,DF,23-025,1. Stuttgart,2003,2,1,78,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Switzerland,Manuel Akanji,Switzerland,DF,30-343,1. Inter,1995,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Switzerland,Michel Aebischer,Switzerland,"MF,FW",29-172,1. Pisa,1997,3,2,152,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Switzerland,Miro Muheim,Switzerland,"DF,MF",28-095,1. Hamburger SV,1998,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Switzerland,Nico Elvedi,Switzerland,DF,29-270,1. Gladbach,1996,3,3,270,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Switzerland,Remo Freuler,Switzerland,MF,34-073,1. Bologna,1992,3,3,268,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Switzerland,Ricardo Rodríguez,Switzerland,DF,33-306,1. Real Betis,1992,3,3,268,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Switzerland,Ruben Vargas,Switzerland,MF,27-326,1. Sevilla,1998,3,2,177,2.0,2,1,3,2,0,0,0,0,1.02,0.51,1.53,1.02,1.53
INT-World Cup,2026,Switzerland,Silvan Widmer,Switzerland,DF,33-114,1. Mainz 05,1993,2,1,102,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Switzerland,Zeki Amdouni,Switzerland,"FW,MF",25-205,1. Burnley,2000,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Tunisia,Ali Abdi,Tunisia,DF,32-189,1. Nice,1993,3,3,269,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Tunisia,Anis Ben Slimane,Tunisia,"MF,FW",25-103,2. Norwich City,2001,3,3,240,2.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Tunisia,Aymen Dahmen,Tunisia,GK,29-150,1. Ahly Sfaxien,1997,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Tunisia,Dylan Bronn,Tunisia,DF,31-008,1. Servette FC,1995,1,1,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Tunisia,Elias Achouri,Tunisia,"FW,MF",27-137,1. FC Copenhagen,1999,3,0,43,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Tunisia,Elias Saad,Tunisia,"MF,FW",26-182,2. Hannover 96,1999,2,2,116,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Tunisia,Ellyes Skhiri,Tunisia,"MF,DF",31-048,1. Frankfurt,1995,3,3,250,2.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Tunisia,Firas Chaouat,Tunisia,FW,30-050,1. Club Africain,1996,3,0,49,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Tunisia,Hadj Mahmoud,Tunisia,MF,26-064,1. Lugano,2000,2,0,43,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Tunisia,Hannibal Mejbri,Tunisia,MF,23-157,1. Burnley,2003,3,3,270,3.0,0,2,2,0,0,0,0,0,0.0,0.67,0.67,0.0,0.67
INT-World Cup,2026,Tunisia,Hazem Mastouri,Tunisia,FW,29-009,1. D. Makhachkala,1997,1,1,89,1.0,1,0,1,1,0,0,0,0,1.01,0.0,1.01,1.01,1.01
INT-World Cup,2026,Tunisia,Ismaël Gharbi,Tunisia,MF,22-078,1. Augsburg,2004,3,1,127,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Tunisia,Mohamed Amine Ben Hamida,Tunisia,DF,30-194,1. Espérance Tunis,1995,3,2,202,2.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Tunisia,Montassar Talbi,Tunisia,DF,28-032,1. Lorient,1998,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Tunisia,Mortadha Ben Ouanes,Tunisia,"DF,MF",31-360,1. Kasımpaşa,1994,1,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Tunisia,Mouhib Chamakh,Tunisia,GK,24-306,1. Club Africain,2001,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Tunisia,Omar Rekik,Tunisia,DF,24-189,1. NK Maribor,2001,2,2,180,2.0,1,0,1,1,0,0,0,0,0.5,0.0,0.5,0.5,0.5
INT-World Cup,2026,Tunisia,Rani Khedira,Tunisia,MF,32-151,1. Union Berlin,1994,3,2,149,1.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Tunisia,Sebastian Tounekti,Tunisia,FW,23-349,1. Celtic,2002,3,1,84,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Tunisia,Yan Valery,Tunisia,DF,27-125,1. Young Boys,1999,3,3,251,2.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Türkiye,Abdülkerim Bardakcı,Türkiye,DF,31-293,1. Galatasaray,1994,3,3,265,2.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Türkiye,Arda Güler,Türkiye,MF,21-122,1. Real Madrid,2005,3,3,270,3.0,1,0,1,1,0,0,0,0,0.33,0.0,0.33,0.33,0.33
INT-World Cup,2026,Türkiye,Barış Alper Yılmaz,Türkiye,"MF,FW",26-035,1. Galatasaray,2000,3,2,179,2.0,1,1,2,1,0,0,0,0,0.5,0.5,1.01,0.5,1.01
INT-World Cup,2026,Türkiye,Can Uzun,Türkiye,MF,20-228,1. Frankfurt,2005,2,0,38,0.4,0,1,1,0,0,0,0,0,0.0,2.37,2.37,0.0,2.37
INT-World Cup,2026,Türkiye,Deniz Gül,Türkiye,FW,21-360,1. Porto,2004,2,0,37,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Türkiye,Eren Elmalı,Türkiye,DF,25-355,1. Galatasaray,2000,2,1,111,1.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Türkiye,Ferdi Kadioglu,Türkiye,DF,26-263,1. Brighton,1999,2,2,159,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Türkiye,Hakan Çalhanoğlu,Türkiye,MF,32-139,1. Inter,1994,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Türkiye,Kaan Ayhan,Türkiye,"DF,MF",31-229,1. Galatasaray,1994,1,0,3,0.0,1,0,1,1,0,0,0,0,30.0,0.0,30.0,30.0,30.0
INT-World Cup,2026,Türkiye,Kenan Yıldız,Türkiye,MF,21-054,1. Juventus,2005,3,2,218,2.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Türkiye,Kerem Aktürkoğlu,Türkiye,FW,27-249,1. Fenerbahçe,1998,2,2,129,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Türkiye,Merih Demiral,Türkiye,DF,28-114,1. Al-Ahli,1998,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Türkiye,Mert Müldür,Türkiye,DF,27-085,1. Fenerbahçe,1999,3,1,101,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Türkiye,Orkun Kökçü,Türkiye,MF,25-180,1. Beşiktaş,2000,3,2,153,1.7,0,1,1,0,0,0,0,0,0.0,0.59,0.59,0.0,0.59
INT-World Cup,2026,Türkiye,Ozan Kabak,Türkiye,DF,26-094,1. Hoffenheim,2000,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Türkiye,Oğuz Aydın,Türkiye,DF,25-243,1. Fenerbahçe,2000,1,1,89,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Türkiye,Salih Özcan,Türkiye,MF,28-167,1. Dortmund,1998,2,1,100,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Türkiye,Uğurcan Çakır,Türkiye,GK,30-083,1. Galatasaray,1996,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Türkiye,Yunus Akgün,Türkiye,MF,25-355,1. Galatasaray,2000,2,1,88,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Türkiye,Zeki Çelik,Türkiye,DF,29-130,1. Roma,1997,2,2,163,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Türkiye,Çağlar Söyüncü,Türkiye,DF,30-035,1. Fenerbahçe,1996,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Türkiye,İrfan Can Kahveci,Türkiye,MF,30-347,1. Kasımpaşa,1995,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Türkiye,İsmail Yüksek,Türkiye,MF,27-152,1. Fenerbahçe,1999,2,2,139,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,United States,Alejandro Zendejas,United States,"FW,MF",28-140,1. América,1998,1,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,United States,Alex Freeman,United States,DF,21-322,1. Villarreal,2004,3,2,194,2.2,1,1,2,1,0,0,0,0,0.46,0.46,0.93,0.46,0.93
INT-World Cup,2026,United States,Antonee Robinson,United States,"MF,DF",28-323,1. Fulham,1997,2,2,169,1.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,United States,Auston Trusty,United States,DF,27-319,1. Celtic,1998,2,1,101,1.1,1,0,1,1,0,0,0,0,0.89,0.0,0.89,0.89,0.89
INT-World Cup,2026,United States,Brenden Aaronson,United States,MF,25-248,1. Leeds United,2000,1,1,76,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,United States,Chris Richards,United States,DF,26-091,1. Crystal Palace,2000,2,2,180,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,United States,Christian Pulisic,United States,MF,27-282,1. Milan,1998,2,1,78,0.9,0,1,1,0,0,0,0,0,0.0,1.15,1.15,0.0,1.15
INT-World Cup,2026,United States,Folarin Balogun,United States,FW,24-359,1. Monaco,2001,2,2,160,1.8,2,0,2,2,0,0,1,0,1.13,0.0,1.13,1.13,1.13
INT-World Cup,2026,United States,Gio Reyna,United States,MF,23-226,1. Gladbach,2002,3,1,85,0.9,1,0,1,1,0,0,0,0,1.06,0.0,1.06,1.06,1.06
INT-World Cup,2026,United States,Haji Wright,United States,"FW,MF",28-092,2. Coventry City,1998,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,United States,Joe Scally,United States,DF,23-178,1. Gladbach,2002,2,1,87,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,United States,Malik Tillman,United States,MF,24-030,1. Leverkusen,2002,3,2,176,2.0,0,1,1,0,0,0,0,0,0.0,0.51,0.51,0.0,0.51
INT-World Cup,2026,United States,Mark McKenzie,United States,DF,27-122,1. Toulouse,1999,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,United States,Matt Freese,United States,GK,27-298,1. NYCFC,1998,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,United States,Matt Turner,United States,GK,32-003,1. NE Revolution,1994,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,United States,Miles Robinson,United States,DF,29-105,1. FC Cincinnati,1997,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,United States,Ricardo Pepi,United States,FW,23-169,1. PSV,2003,3,2,182,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,United States,Sebastian Berhalter,United States,MF,25-048,1. Vancouver,2001,3,1,152,1.7,1,1,2,1,0,0,1,0,0.59,0.59,1.18,0.59,1.18
INT-World Cup,2026,United States,Sergiño Dest,United States,MF,25-236,1. PSV,2000,3,2,165,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,United States,Tim Ream,United States,DF,38-265,1. Charlotte,1987,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,United States,Timothy Weah,United States,MF,26-125,1. Marseille,2000,2,1,76,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,United States,Tyler Adams,United States,MF,27-133,1. Bournemouth,1999,2,2,180,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,United States,Weston McKennie,United States,MF,27-303,1. Juventus,1998,3,3,264,2.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Uruguay,Agustín Canobbio,Uruguay,FW,27-269,1. Fluminense,1998,2,1,135,1.5,1,0,1,1,0,0,0,0,0.67,0.0,0.67,0.67,0.67
INT-World Cup,2026,Uruguay,Brian Rodríguez,Uruguay,"FW,MF",26-038,1. América,2000,2,0,20,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Uruguay,Darwin Núñez,Uruguay,FW,27-003,1. Al-Hilal,1999,2,1,66,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Uruguay,Federico Valverde,Uruguay,MF,27-340,1. Real Madrid,1998,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Uruguay,Federico Viñas,Uruguay,FW,27-362,1. Oviedo,1998,2,2,158,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Uruguay,Fernando Muslera,Uruguay,GK,40-011,1. Galatasaray,1986,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Uruguay,Guillermo Varela,Uruguay,DF,33-095,1. Flamengo,1993,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Uruguay,Juan Manuel Sanabria,Uruguay,DF,26-090,1. Atlético San Luis,2000,2,1,135,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Uruguay,Manuel Ugarte,Uruguay,MF,25-077,1. Manchester Utd,2001,2,2,140,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Uruguay,Mathías Olivera,Uruguay,DF,28-239,1. Napoli,1997,2,2,180,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Uruguay,Matías Viña,Uruguay,DF,28-230,1. Flamengo,1997,1,1,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Uruguay,Maxi Araújo,Uruguay,"MF,FW",26-132,1. Sporting CP,2000,2,2,160,1.8,2,1,3,2,0,0,0,0,1.13,0.56,1.69,1.13,1.69
INT-World Cup,2026,Uruguay,Nicolás De La Cruz,Uruguay,MF,29-026,1. Flamengo,1997,2,0,40,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Uruguay,Rodrigo Aguirre,Uruguay,FW,31-269,1. América,1994,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Uruguay,Rodrigo Bentancur,Uruguay,MF,29-002,1. Tottenham,1997,2,2,180,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Uruguay,Sebastián Cáceres,Uruguay,DF,26-313,1. América,1999,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Uzbekistan,Abbosbek Fayzullayev,Uzbekistan,MF,22-267,1. Başakşehir,2003,2,2,148,1.6,1,0,1,1,0,0,0,0,0.61,0.0,0.61,0.61,0.61
INT-World Cup,2026,Uzbekistan,Abdukodir Khusanov,Uzbekistan,DF,22-118,1. Manchester City,2004,2,2,180,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Uzbekistan,Abdulla Abdullaev,Uzbekistan,DF,28-299,1. Dibba Al Fujairah,1997,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Uzbekistan,Abduvohid Nematov,Uzbekistan,GK,25-099,1. FC Nasaf,2001,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Uzbekistan,Akmal Mozgovoy,Uzbekistan,MF,27-086,1. Pakhtakor Tashkent FK,1999,2,1,135,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Uzbekistan,Aziz Gʻaniyev,Uzbekistan,MF,28-125,,1998,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Uzbekistan,Azizbek Amonov,Uzbekistan,FW,28-240,1. FK Bukhara Nurafshon,1997,1,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Uzbekistan,Bekhruz Karimov,Uzbekistan,DF,18-324,1. FC Surkhon,2007,2,2,179,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
